********** NEW NOZZLE GEOMETRY **********
label: iMD2M
R throat: 0.00027993
mass flow:      1.0000 kg/s
inlet velocity: 25.00 m/s
geometry: rectangular
x norm         R norm
3.11422846     1.85202194
3.12625251     1.83996095
3.13827655     1.82793996
3.15030060     1.81596257
3.16232465     1.80403234
3.17434870     1.79215276
3.18637275     1.78032727
3.19839679     1.76855924
3.21042084     1.75685196
3.22244489     1.74520866
3.23446894     1.73363249
3.24649299     1.72212652
3.25851703     1.71069375
3.27054108     1.69933708
3.28256513     1.68805933
3.29458918     1.67686323
3.30661323     1.66575142
3.31863727     1.65472645
3.33066132     1.64379078
3.34268537     1.63294675
3.35470942     1.62219663
3.36673347     1.61154257
3.37875752     1.60098665
3.39078156     1.59053083
3.40280561     1.58017696
3.41482966     1.56992681
3.42685371     1.55978204
3.43887776     1.54974421
3.45090180     1.53981478
3.46292585     1.52999513
3.47494990     1.52028649
3.48697395     1.51069005
3.49899800     1.50120687
3.51102204     1.49183792
3.52304609     1.48258407
3.53507014     1.47344612
3.54709419     1.46442474
3.55911824     1.45552053
3.57114228     1.44673402
3.58316633     1.43806561
3.59519038     1.42951565
3.60721443     1.42108438
3.61923848     1.41277200
3.63126253     1.40457857
3.64328657     1.39650413
3.65531062     1.38854861
3.66733467     1.38071188
3.67935872     1.37299373
3.69138277     1.36539390
3.70340681     1.35791205
3.71543086     1.35054778
3.72745491     1.34330062
3.73947896     1.33617006
3.75150301     1.32915552
3.76352705     1.32225637
3.77555110     1.31547192
3.78757515     1.30880145
3.79959920     1.30224417
3.81162325     1.29579927
3.82364729     1.28946587
3.83567134     1.28324307
3.84769539     1.27712993
3.85971944     1.27112547
3.87174349     1.26522867
3.88376754     1.25943850
3.89579158     1.25375388
3.90781563     1.24817370
3.91983968     1.24269685
3.93186373     1.23732217
3.94388778     1.23204850
3.95591182     1.22687465
3.96793587     1.22179940
3.97995992     1.21682154
3.99198397     1.21193982
4.00400802     1.20715301
4.01603206     1.20245982
4.02805611     1.19785901
4.04008016     1.19334928
4.05210421     1.18892935
4.06412826     1.18459793
4.07615230     1.18035372
4.08817635     1.17619543
4.10020040     1.17212176
4.11222445     1.16813141
4.12424850     1.16422308
4.13627255     1.16039547
4.14829659     1.15664728
4.16032064     1.15297723
4.17234469     1.14938403
4.18436874     1.14586640
4.19639279     1.14242307
4.20841683     1.13905276
4.22044088     1.13575422
4.23246493     1.13252619
4.24448898     1.12936743
4.25651303     1.12627671
4.26853707     1.12325281
4.28056112     1.12029452
4.29258517     1.11740062
4.30460922     1.11456994
4.31663327     1.11180130
4.32865731     1.10909353
4.34068136     1.10644548
4.35270541     1.10385601
4.36472946     1.10132399
4.37675351     1.09884832
4.38877756     1.09642789
4.40080160     1.09406162
4.41282565     1.09174845
4.42484970     1.08948731
4.43687375     1.08727716
4.44889780     1.08511698
4.46092184     1.08300576
4.47294589     1.08094251
4.48496994     1.07892623
4.49699399     1.07695596
4.50901804     1.07503076
4.52104208     1.07314968
4.53306613     1.07131181
4.54509018     1.06951623
4.55711423     1.06776205
4.56913828     1.06604841
4.58116232     1.06437443
4.59318637     1.06273927
4.60521042     1.06114210
4.61723447     1.05958210
4.62925852     1.05805847
4.64128257     1.05657041
4.65330661     1.05511715
4.66533066     1.05369794
4.67735471     1.05231202
4.68937876     1.05095867
4.70140281     1.04963716
4.71342685     1.04834679
4.72545090     1.04708687
4.73747495     1.04585672
4.74949900     1.04465568
4.76152305     1.04348308
4.77354709     1.04233830
4.78557114     1.04122071
4.79759519     1.04012969
4.80961924     1.03906465
4.82164329     1.03802498
4.83366733     1.03701012
4.84569138     1.03601950
4.85771543     1.03505257
4.86973948     1.03410877
4.88176353     1.03318759
4.89378758     1.03228850
4.90581162     1.03141099
4.91783567     1.03055456
4.92985972     1.02971873
4.94188377     1.02890301
4.95390782     1.02810695
4.96593186     1.02733008
4.97795591     1.02657195
4.98997996     1.02583213
5.00200401     1.02511019
5.01402806     1.02440571
5.02605210     1.02371828
5.03807615     1.02304751
5.05010020     1.02239299
5.06212425     1.02175434
5.07414830     1.02113120
5.08617234     1.02052319
5.09819639     1.01992995
5.11022044     1.01935115
5.12224449     1.01878642
5.13426854     1.01823544
5.14629259     1.01769789
5.15831663     1.01717344
5.17034068     1.01666177
5.18236473     1.01616259
5.19438878     1.01567560
5.20641283     1.01520050
5.21843687     1.01473701
5.23046092     1.01428486
5.24248497     1.01384376
5.25450902     1.01341346
5.26653307     1.01299369
5.27855711     1.01258420
5.29058116     1.01218475
5.30260521     1.01179509
5.31462926     1.01141498
5.32665331     1.01104420
5.33867735     1.01068252
5.35070140     1.01032972
5.36272545     1.00998559
5.37474950     1.00964990
5.38677355     1.00932247
5.39879760     1.00900309
5.41082164     1.00869157
5.42284569     1.00838770
5.43486974     1.00809132
5.44689379     1.00780223
5.45891784     1.00752026
5.47094188     1.00724524
5.48296593     1.00697699
5.49498998     1.00671535
5.50701403     1.00646017
5.51903808     1.00621127
5.53106212     1.00596851
5.54308617     1.00573175
5.55511022     1.00550082
5.56713427     1.00527560
5.57915832     1.00505593
5.59118236     1.00484169
5.60320641     1.00463275
5.61523046     1.00442896
5.62725451     1.00423021
5.63927856     1.00403637
5.65130261     1.00384732
5.66332665     1.00366295
5.67535070     1.00348313
5.68737475     1.00330777
5.69939880     1.00313674
5.71142285     1.00296994
5.72344689     1.00280727
5.73547094     1.00264863
5.74749499     1.00249392
5.75951904     1.00234303
5.77154309     1.00219588
5.78356713     1.00205238
5.79559118     1.00191243
5.80761523     1.00177595
5.81963928     1.00164284
5.83166333     1.00151304
5.84368737     1.00138646
5.85571142     1.00126301
5.86773547     1.00114262
5.87975952     1.00102522
5.89178357     1.00091072
5.90380762     1.00079907
5.91583166     1.00069019
5.92785571     1.00058400
5.93987976     1.00048046
5.95190381     1.00037948
5.96392786     1.00028100
5.97595190     1.00018497
5.98797595     1.00009132
6.00000000     1.00000000
6.00600000     1.00004568
6.01200000     1.00009216
6.01800000     1.00013965
6.02400000     1.00018818
6.03000000     1.00023777
6.03600000     1.00028844
6.04200000     1.00034022
6.04800000     1.00039312
6.05400000     1.00044718
6.06000000     1.00050241
6.06600000     1.00055885
6.07200000     1.00061652
6.07800000     1.00067544
6.08400000     1.00073564
6.09000000     1.00079716
6.09600000     1.00086001
6.10200000     1.00092423
6.10800000     1.00098985
6.11400000     1.00105690
6.12000000     1.00112540
6.12600000     1.00119539
6.13200000     1.00126690
6.13800000     1.00133996
6.14400000     1.00141461
6.15000000     1.00149088
6.15600000     1.00156880
6.16200000     1.00164842
6.16800000     1.00172976
6.17400000     1.00181286
6.18000000     1.00189776
6.18600000     1.00198450
6.19200000     1.00207312
6.19800000     1.00216366
6.20400000     1.00225616
6.21000000     1.00235065
6.21600000     1.00244719
6.22200000     1.00254582
6.22800000     1.00264657
6.23400000     1.00274950
6.24000000     1.00285465
6.24600000     1.00296207
6.25200000     1.00307180
6.25800000     1.00318390
6.26400000     1.00329841
6.27000000     1.00341539
6.27600000     1.00353489
6.28200000     1.00365695
6.28800000     1.00378164
6.29400000     1.00390901
6.30000000     1.00403911
6.30600000     1.00417201
6.31200000     1.00430775
6.31800000     1.00444641
6.32400000     1.00458803
6.33000000     1.00473269
6.33600000     1.00488044
6.34200000     1.00503135
6.34800000     1.00518549
6.35400000     1.00534291
6.36000000     1.00550370
6.36600000     1.00566792
6.37200000     1.00583563
6.37800000     1.00600692
6.38400000     1.00618185
6.39000000     1.00636050
6.39600000     1.00654294
6.40200000     1.00672926
6.40800000     1.00691953
6.41400000     1.00711383
6.42000000     1.00731225
6.42600000     1.00751487
6.43200000     1.00772177
6.43800000     1.00793304
6.44400000     1.00814876
6.45000000     1.00836904
6.45600000     1.00859395
6.46200000     1.00882360
6.46800000     1.00905807
6.47400000     1.00929746
6.48000000     1.00954188
6.48600000     1.00979142
6.49200000     1.01004618
6.49800000     1.01030627
6.50400000     1.01057179
6.51000000     1.01084284
6.51600000     1.01111955
6.52200000     1.01140201
6.52800000     1.01169034
6.53400000     1.01198465
6.54000000     1.01228507
6.54600000     1.01259170
6.55200000     1.01290468
6.55800000     1.01322411
6.56400000     1.01355013
6.57000000     1.01388286
6.57600000     1.01422242
6.58200000     1.01456896
6.58800000     1.01492260
6.59400000     1.01528347
6.60000000     1.01565171
6.60600000     1.01602746
6.61200000     1.01641085
6.61800000     1.01680204
6.62400000     1.01720117
6.63000000     1.01760837
6.63600000     1.01802381
6.64200000     1.01844762
6.64800000     1.01887997
6.65400000     1.01932100
6.66000000     1.01977088
6.66600000     1.02022976
6.67200000     1.02069780
6.67800000     1.02117517
6.68400000     1.02166204
6.69000000     1.02215855
6.69600000     1.02266490
6.70200000     1.02318124
6.70800000     1.02370776
6.71400000     1.02424462
6.72000000     1.02479200
6.72600000     1.02535008
6.73200000     1.02591904
6.73800000     1.02649907
6.74400000     1.02709034
6.75000000     1.02769305
6.75600000     1.02830738
6.76200000     1.02893353
6.76800000     1.02957167
6.77400000     1.03022201
6.78000000     1.03088474
6.78600000     1.03156005
6.79200000     1.03224814
6.79800000     1.03294921
6.80400000     1.03366347
6.81000000     1.03439110
6.81600000     1.03513232
6.82200000     1.03588732
6.82800000     1.03665631
6.83400000     1.03743949
6.84000000     1.03823708
6.84600000     1.03904927
6.85200000     1.03987628
6.85800000     1.04071830
6.86400000     1.04157556
6.87000000     1.04244825
6.87600000     1.04333658
6.88200000     1.04424077
6.88800000     1.04516102
6.89400000     1.04609754
6.90000000     1.04705053
6.90600000     1.04802020
6.91200000     1.04900676
6.91800000     1.05001041
6.92400000     1.05103135
6.93000000     1.05206980
6.93600000     1.05312594
6.94200000     1.05419998
6.94800000     1.05529212
6.95400000     1.05640254
6.96000000     1.05753146
6.96600000     1.05867904
6.97200000     1.05984549
6.97800000     1.06103099
6.98400000     1.06223572
6.99000000     1.06345986
6.99600000     1.06470358
7.00200000     1.06596707
7.00800000     1.06725047
7.01400000     1.06855396
7.02000000     1.06987770
7.02600000     1.07122185
7.03200000     1.07258653
7.03800000     1.07397192
7.04400000     1.07537813
7.05000000     1.07680531
7.05600000     1.07825357
7.06200000     1.07972305
7.06800000     1.08121384
7.07400000     1.08272607
7.08000000     1.08425982
7.08600000     1.08581519
7.09200000     1.08739226
7.09800000     1.08899111
7.10400000     1.09061180
7.11000000     1.09225439
7.11600000     1.09391893
7.12200000     1.09560547
7.12800000     1.09731402
7.13400000     1.09904462
7.14000000     1.10079727
7.14600000     1.10257198
7.15200000     1.10436873
7.15800000     1.10618751
7.16400000     1.10802827
7.17000000     1.10989098
7.17600000     1.11177559
7.18200000     1.11368202
7.18800000     1.11561019
7.19400000     1.11756002
7.20000000     1.11953141
7.20600000     1.12152423
7.21200000     1.12353836
7.21800000     1.12557365
7.22400000     1.12762995
7.23000000     1.12970709
7.23600000     1.13180490
7.24200000     1.13392316
7.24800000     1.13606169
7.25400000     1.13822024
7.26000000     1.14039860
7.26600000     1.14259649
7.27200000     1.14481367
7.27800000     1.14704985
7.28400000     1.14930475
7.29000000     1.15157805
7.29600000     1.15386943
7.30200000     1.15617857
7.30800000     1.15850511
7.31400000     1.16084870
7.32000000     1.16320896
7.32600000     1.16558550
7.33200000     1.16797793
7.33800000     1.17038582
7.34400000     1.17280876
7.35000000     1.17524630
7.35600000     1.17769800
7.36200000     1.18016338
7.36800000     1.18264198
7.37400000     1.18513331
7.38000000     1.18763688
7.38600000     1.19015216
7.39200000     1.19267865
7.39800000     1.19521582
7.40400000     1.19776313
7.41000000     1.20032003
7.41600000     1.20288596
7.42200000     1.20546037
7.42800000     1.20804268
7.43400000     1.21063232
7.44000000     1.21322869
7.44600000     1.21583120
7.45200000     1.21843926
7.45800000     1.22105226
7.46400000     1.22366960
7.47000000     1.22629066
7.47600000     1.22891483
7.48200000     1.23154150
7.48800000     1.23417003
7.49400000     1.23679982
7.50000000     1.23943022
7.50600000     1.24206063
7.51200000     1.24469042
7.51800000     1.24731896
7.52400000     1.24994563
7.53000000     1.25256981
7.53600000     1.25519089
7.54200000     1.25780824
7.54800000     1.26042126
7.55400000     1.26302934
7.56000000     1.26563187
7.56600000     1.26822826
7.57200000     1.27081792
7.57800000     1.27340025
7.58400000     1.27597469
7.59000000     1.27854066
7.59600000     1.28109759
7.60200000     1.28364493
7.60800000     1.28618214
7.61400000     1.28870867
7.62000000     1.29122399
7.62600000     1.29372759
7.63200000     1.29621897
7.63800000     1.29869761
7.64400000     1.30116304
7.65000000     1.30361479
7.65600000     1.30605238
7.66200000     1.30847537
7.66800000     1.31088331
7.67400000     1.31327579
7.68000000     1.31565239
7.68600000     1.31801271
7.69200000     1.32035635
7.69800000     1.32268296
7.70400000     1.32499216
7.71000000     1.32728360
7.71600000     1.32955697
7.72200000     1.33181193
7.72800000     1.33404817
7.73400000     1.33626542
7.74000000     1.33846338
7.74600000     1.34064180
7.75200000     1.34280043
7.75800000     1.34493902
7.76400000     1.34705736
7.77000000     1.34915523
7.77600000     1.35123245
7.78200000     1.35328882
7.78800000     1.35532419
7.79400000     1.35733839
7.80000000     1.35933128
7.80600000     1.36130274
7.81200000     1.36325265
7.81800000     1.36518090
7.82400000     1.36708740
7.83000000     1.36897208
7.83600000     1.37083487
7.84200000     1.37267571
7.84800000     1.37449456
7.85400000     1.37629139
7.86000000     1.37806617
7.86600000     1.37981890
7.87200000     1.38154958
7.87800000     1.38325821
7.88400000     1.38494482
7.89000000     1.38660944
7.89600000     1.38825211
7.90200000     1.38987287
7.90800000     1.39147179
7.91400000     1.39304894
7.92000000     1.39460438
7.92600000     1.39613821
7.93200000     1.39765051
7.93800000     1.39914138
7.94400000     1.40061093
7.95000000     1.40205927
7.95600000     1.40348652
7.96200000     1.40489280
7.96800000     1.40627826
7.97400000     1.40764302
7.98000000     1.40898723
7.98600000     1.41031104
7.99200000     1.41161460
7.99800000     1.41289808
8.00400000     1.41416163
8.01000000     1.41540542
8.01600000     1.41662963
8.02200000     1.41783442
8.02800000     1.41901999
8.03400000     1.42018650
8.04000000     1.42133415
8.04600000     1.42246313
8.05200000     1.42357362
8.05800000     1.42466582
8.06400000     1.42573992
8.07000000     1.42679613
8.07600000     1.42783463
8.08200000     1.42885564
8.08800000     1.42985935
8.09400000     1.43084596
8.10000000     1.43181569
8.10600000     1.43276874
8.11200000     1.43370531
8.11800000     1.43462562
8.12400000     1.43552986
8.13000000     1.43641825
8.13600000     1.43729100
8.14200000     1.43814830
8.14800000     1.43899038
8.15400000     1.43981744
8.16000000     1.44062968
8.16600000     1.44142732
8.17200000     1.44221055
8.17800000     1.44297959
8.18400000     1.44373464
8.19000000     1.44447591
8.19600000     1.44520359
8.20200000     1.44591788
8.20800000     1.44661900
8.21400000     1.44730714
8.22000000     1.44798250
8.22600000     1.44864527
8.23200000     1.44929565
8.23800000     1.44993383
8.24400000     1.45056002
8.25000000     1.45117439
8.25600000     1.45177714
8.26200000     1.45236845
8.26800000     1.45294852
8.27400000     1.45351752
8.28000000     1.45407564
8.28600000     1.45462306
8.29200000     1.45515995
8.29800000     1.45568650
8.30400000     1.45620288
8.31000000     1.45670926
8.31600000     1.45720581
8.32200000     1.45769270
8.32800000     1.45817011
8.33400000     1.45863818
8.34000000     1.45909709
8.34600000     1.45954700
8.35200000     1.45998807
8.35800000     1.46042044
8.36400000     1.46084429
8.37000000     1.46125975
8.37600000     1.46166698
8.38200000     1.46206614
8.38800000     1.46245735
8.39400000     1.46284078
8.40000000     1.46321655
8.40600000     1.46358482
8.41200000     1.46394571
8.41800000     1.46429938
8.42400000     1.46464594
8.43000000     1.46498553
8.43600000     1.46531828
8.44200000     1.46564432
8.44800000     1.46596378
8.45400000     1.46627677
8.46000000     1.46658343
8.46600000     1.46688386
8.47200000     1.46717820
8.47800000     1.46746655
8.48400000     1.46774903
8.49000000     1.46802576
8.49600000     1.46829683
8.50200000     1.46856237
8.50800000     1.46882247
8.51400000     1.46907725
8.52000000     1.46932681
8.52600000     1.46957124
8.53200000     1.46981066
8.53800000     1.47004515
8.54400000     1.47027481
8.55000000     1.47049974
8.55600000     1.47072003
8.56200000     1.47093577
8.56800000     1.47114706
8.57400000     1.47135397
8.58000000     1.47155660
8.58600000     1.47175503
8.59200000     1.47194935
8.59800000     1.47213964
8.60400000     1.47232597
8.61000000     1.47250843
8.61600000     1.47268709
8.62200000     1.47286203
8.62800000     1.47303333
8.63400000     1.47320106
8.64000000     1.47336528
8.64600000     1.47352608
8.65200000     1.47368352
8.65800000     1.47383767
8.66400000     1.47398859
8.67000000     1.47413635
8.67600000     1.47428102
8.68200000     1.47442265
8.68800000     1.47456132
8.69400000     1.47469707
8.70000000     1.47482998
8.70600000     1.47496009
8.71200000     1.47508747
8.71800000     1.47521217
8.72400000     1.47533424
8.73000000     1.47545374
8.73600000     1.47557073
8.74200000     1.47568525
8.74800000     1.47579736
8.75400000     1.47590710
8.76000000     1.47601453
8.76600000     1.47611969
8.77200000     1.47622262
8.77800000     1.47632339
8.78400000     1.47642202
8.79000000     1.47651856
8.79600000     1.47661307
8.80200000     1.47670557
8.80800000     1.47679611
8.81400000     1.47688474
8.82000000     1.47697149
8.82600000     1.47705640
8.83200000     1.47713951
8.83800000     1.47722085
8.84400000     1.47730047
8.85000000     1.47737840
8.85600000     1.47745467
8.86200000     1.47752933
8.86800000     1.47760240
8.87400000     1.47767391
8.88000000     1.47774391
8.88600000     1.47781242
8.89200000     1.47787946
8.89800000     1.47794509
8.90400000     1.47800931
8.91000000     1.47807217
8.91600000     1.47813369
8.92200000     1.47819390
8.92800000     1.47825283
8.93400000     1.47831050
8.94000000     1.47836694
8.94600000     1.47842218
8.95200000     1.47847624
8.95800000     1.47852915
8.96400000     1.47858093
8.97000000     1.47863160
8.97600000     1.47868119
8.98200000     1.47872973
8.98800000     1.47877722
8.99400000     1.47882370
9.00000000     1.47886919
